# suite|fixture|observed-error-or-exception
resvg|tests/filters/feDropShadow/hsla-color|0.32107270541028921
resvg|tests/filters/feDropShadow/only-stdDeviation|0.32212626411501399
resvg|tests/filters/feDropShadow/stdDeviation=0|0.32877185272402165
resvg|tests/filters/feDropShadow/with-flood-color|0.32509414777979495
resvg|tests/filters/feDropShadow/with-flood-opacity|0.32063271755588296
resvg|tests/filters/feDropShadow/with-offset|0.33863227557122944
resvg|tests/filters/feDropShadow/with-offset-clipped|0.34343057348961964
resvg|tests/filters/feDropShadow/with-percent-offset|0.32212626411501399
resvg|tests/filters/feFlood/complex-transform|0.29073555960709546
resvg|tests/filters/feFlood/default-values|0.26392785078324871
resvg|tests/filters/feFlood/partial-subregion|0.32650054211050344
resvg|tests/filters/feFlood/seagreen|0.41525112304962708
resvg|tests/filters/feFlood/subregion-inheritance|0.41525112304962708
resvg|tests/filters/feFlood/subregion-with-primitiveUnits=objectBoundingBox|0.37027137870341059
resvg|tests/filters/feFlood/with-opacity|0.30103758629672944
resvg|tests/filters/feFlood/with-opacity-on-target-element|0.15066016147608816
resvg|tests/filters/feGaussianBlur/complex-transform|0.2106817852414648
resvg|tests/filters/feGaussianBlur/empty-stdDeviation|0.48101629105745747
resvg|tests/filters/feGaussianBlur/no-stdDeviation|0.48101629105745747
resvg|tests/filters/feGaussianBlur/stdDeviation-with-multiple-values|0.48101629105745747
resvg|tests/filters/feGaussianBlur/stdDeviation-with-two-different-values|0.16217563268235713
resvg|tests/filters/feImage/chained-feImage|0.53327760958567005
resvg|tests/filters/feImage/embedded-png|0.42910164147947005
resvg|tests/filters/feImage/empty|0.42294790270623017
resvg|tests/filters/feImage/link-on-an-element-with-complex-transform|0.44037373416789494
resvg|tests/filters/feImage/link-on-an-element-with-transform|0.16778764315326608
resvg|tests/filters/feImage/link-to-an-element|0.49485625973682829
resvg|tests/filters/feImage/link-to-an-element-outside-defs-1|0.21252784113248424
resvg|tests/filters/feImage/link-to-an-element-outside-defs-2|0.41728254295214312
resvg|tests/filters/feImage/link-to-an-element-with-opacity|0.50013389294260402
resvg|tests/filters/feImage/link-to-an-element-with-transform|0.36047504886241583
resvg|tests/filters/feImage/link-to-an-invalid-element|0.56117504019457354
resvg|tests/filters/feImage/link-to-g|0.49485625973682829
resvg|tests/filters/feImage/link-to-use|0.49485625973682829
resvg|tests/filters/feImage/preserveAspectRatio=none|0.33725850602270357
resvg|tests/filters/feImage/recursive-links-1|0.49485758016677228
resvg|tests/filters/feImage/recursive-links-2|0.49485758016677228
resvg|tests/filters/feImage/simple-case|0.42910164147947005
resvg|tests/filters/feImage/svg|0.44325567442488273
resvg|tests/filters/feImage/with-subregion-1|0.41309605750323297
resvg|tests/filters/feImage/with-subregion-2|0.41309605750323297
resvg|tests/filters/feImage/with-subregion-3|0.41927504067926485
resvg|tests/filters/feImage/with-subregion-4|0.40095707305684958
resvg|tests/filters/feImage/with-subregion-5|0.26824266073348485
resvg|tests/filters/feImage/with-x-y-and-protruding-subregion-1|0.21523785739929488
resvg|tests/filters/feImage/with-x-y-and-protruding-subregion-2|0.23236744410299692
resvg|tests/filters/feMerge/complex-transform|0.1837353509252766
resvg|tests/filters/feMorphology/empty-radius|0.31287708161306083
resvg|tests/filters/feMorphology/huge-radius|0.55653954341089018
resvg|tests/filters/feMorphology/negative-radius|0.31287708161306083
resvg|tests/filters/feMorphology/no-radius|0.31287708161306083
resvg|tests/filters/feMorphology/operator=dilate|0.52595871764124758
resvg|tests/filters/feMorphology/radius-with-too-many-values|0.31287708161306083
resvg|tests/filters/feMorphology/radius=0.5|0.31563052415074061
resvg|tests/filters/feMorphology/radius=0.5-with-objectBoundingBox|0.32996574064285589
resvg|tests/filters/feMorphology/radius=1-10|0.31042191845882056
