      8,406,587  GC Heap bytes
         86,277  GC Heap objects

   Object Bytes     Count  Type
            800       438  Avalonia.Rendering.Composition.Server.ServerCompositionDrawListVisual  [Avalonia.Base.dll]
            792         1  Avalonia.Rendering.Composition.Server.ServerCompositionCustomVisual  [Avalonia.Base.dll]
            784         3  Avalonia.Controls.Presenters.ScrollContentPresenter  [Avalonia.Controls.dll]
            752         1  ControlSamples.HamburgerMenu  [ControlSamples.dll]
            736         1  Avalonia.Controls.TabControl  [Avalonia.Controls.dll]
            728         7  Avalonia.Controls.MenuItem  [Avalonia.Controls.dll]
            728         6  Avalonia.Controls.ComboBox  [Avalonia.Controls.dll]
            720         1  Entry<SkiaSharp.SKBlendMode,SkiaSharp.SKBlender>[]  [System.Private.CoreLib.dll]
            688         3  Avalonia.Controls.ScrollViewer  [Avalonia.Controls.dll]
            656         1  Avalonia.Controls.Presenters.TextPresenter  [Avalonia.Controls.dll]
            616         1  System.Double<,>  [System.Private.CoreLib.dll]
            600       143  Avalonia.Controls.Presenters.ContentPresenter  [Avalonia.Controls.dll]
            600         7  Avalonia.Controls.Shapes.Path  [Avalonia.Controls.dll]
            600         4  Avalonia.Controls.Shapes.Rectangle  [Avalonia.Controls.dll]
            600         1  Avalonia.Controls.TopLevelHost  [Avalonia.Controls.dll]
            600         1  Avalonia.Controls.LayoutTransformControl  [Avalonia.Controls.dll]
            592         1  Avalonia.Controls.ItemsControl  [Avalonia.Controls.dll]
            584         1  Avalonia.Controls.TextBox  [Avalonia.Controls.dll]
            576         6  Avalonia.Controls.Primitives.ScrollBar  [Avalonia.Controls.dll]
            568         8  Avalonia.Controls.Primitives.AccessText  [Avalonia.Controls.dll]
            568         1  ControlCatalog.Pages.CompositionPage  [ControlCatalog.dll]
            560       221  Avalonia.Controls.Border  [Avalonia.Controls.dll]
            560        14  Avalonia.Controls.Grid  [Avalonia.Controls.dll]
            552       124  Avalonia.Controls.TextBlock  [Avalonia.Controls.dll]
            552         1  Avalonia.Controls.SplitView  [Avalonia.Controls.dll]
            544         8  Avalonia.Controls.RepeatButton  [Avalonia.Controls.dll]
            544         1  Avalonia.Controls.GridSplitter  [Avalonia.Controls.dll]
            536         5  Avalonia.Controls.Button  [Avalonia.Controls.dll]
            536         3  Avalonia.Controls.Presenters.ItemsPresenter  [Avalonia.Controls.dll]
            536         2  Avalonia.Controls.Primitives.Track  [Avalonia.Controls.dll]
            536         2  Slot<System.Object>[]  [System.Private.CoreLib.dll]
